id,wbId,name,original_en_word_count,improved_en_word_count,improvement_pct,status,error_reason
155770,WB166929,Starward Solera,91,104,14.3,success,
155779,WB106485,Glendronach 25 Years Old 1993 Single Cask Nr.658,104,120,15.4,success,
155788,WB223712,WhistlePig 12 Years Old Old World Rye,104,109,4.8,success,
155789,WB201353,WhistlePig 15 Years Old Estate Oak Rye,106,112,5.7,success,
155790,WB229231,Torabhaig Allt Gleann The Legacy Series,115,107,-7.0,success,
155794,WB167034,Glengoyne 10 Years Old Unhurried Since 1833,94,110,17.0,success,
155797,WB189446,Glenlivet 18 Years Old Single Cask Nr.13091,126,134,6.3,success,
155801,WB11164,Bowmore 44 Years Old 1964 Gold Edition,110,117,6.4,success,
155815,WB21168,Aberlour A'bunadh Batch 35,101,114,12.9,success,
155817,WB100338,Balvenie 12 Years Old Single Barrel Nr.4768,96,115,19.8,success,
155819,WB166258,Glenallachie 31 Years Old 1989 Single Cask Cask Nr.6117,102,119,16.7,success,
155821,WB167153,Balvenie 12 Years Old Single Barrel Nr.8428,120,123,2.5,success,
155822,WB161721,Glenallachie 30 Years Old 1989 Single Cask Cask Nr.6121,105,116,10.5,success,
155824,WB68279,Glendronach 12 Years Old 2003 Single Cask Nr.1749,126,120,-4.8,success,
155825,WB20494,Aberlour A'bunadh Batch 34,96,115,19.8,success,
155827,WB35039,Brora 35 Years Old 11Th Release Diageo Special Releases 2012,98,117,19.4,success,
155828,WB61952,BenRiach 35 Years Old,97,108,11.3,success,
155831,WB98386,Dalmore 15 Years Old 2001 Vintage,119,127,6.7,success,
155832,WB1752,BenRiach 30 Years Old,93,119,28.0,success,
155833,WB89319,Glendronach 21 Years Old 1995 Single Cask Nr.3248,105,109,3.8,success,
155836,WB18211,Ledaig 10 Years Old,46,106,130.4,success,
155841,WB127,Glenlivet 15 Years Old French Oak Reserve,110,108,-1.8,success,
155846,WB111819,BenRiach 30 Years Old Authenticus,95,118,24.2,success,
155849,WB166961,Glendronach 11 Years Old 2008 Cask Bottling - Batch 18 Cask Nr.648,108,122,13.0,success,
155850,WB258759,Holyrood Ambir,45,120,166.7,success,
155855,WB239125,Meikle Toir 5 Years Old The Sherry One,112,113,0.9,success,
155856,WB82407,Jameson The Coopers Croze The Whiskey Makers Series,99,113,14.1,success,
155866,WB135925,Glenallachie 28 Years Old 1990 Single Cask Cask Nr.1465,94,122,29.8,success,
155869,WB118554,Hibiki Blender's Choice,38,110,189.5,success,
155873,WB7301,Bunnahabhain 1963,100,120,20.0,success,
155874,WB238766,Hibiki 21 Years Old 100th Anniversary Limited Edition,45,107,137.8,success,
155880,WB101495,Bunnahabhain 12 Years Old Small Batch Distilled,92,113,22.8,success,
155883,WB122923,Speyburn 18 Years Old,94,112,19.1,success,
155885,WB158233,Bunnahabhain 2002 Madeira Cask Finish Feis Ile 2020,106,117,10.4,success,
155887,WB139672,Balvenie 12 Years Old Single Barrel Nr.11698,98,113,15.3,success,
155889,WB174491,Kavalan Solist Sherry Cask Nr.S081224012,107,107,0.0,success,
155892,WB141535,Bowmore 21 Year Old Pedro Ximenez Finish,129,119,-7.8,success,
155893,WB117422,Ailsa Bay Release 1.2 Sweet Smoke,96,113,17.7,success,
155896,WB145693,Johnnie Walker 15 Years Old Green Label (Old Pipe),112,113,0.9,success,
155902,WB84090,Balvenie 15 Years Old Single Barrel Nr.9388,113,119,5.3,success,
155903,WB166255,Glenallachie 30 Years Old 1990 Single Cask Cask Nr.3593,95,122,28.4,success,
155906,WB122452,Glenallachie 28 Years Old 1990 Single Cask For Europe - Batch 1 Cask Nr.1468,102,134,31.4,success,
155907,WB227709,Daftmill 2010 Winter Batch Release,84,116,38.1,success,
155908,WB169573,Glenallachie 2008 Cuvee Cask Finish,96,109,13.5,success,
155909,WB173976,Glenallachie 30 Years Old 1990 Single Cask Cask Nr.6510,102,115,12.7,success,
155915,WB126630,Aberlour 26 Years Old 1992 Galloway Series Whiskybroker.co.uk Cask Nr.3921,101,111,9.9,success,
155918,WB67572,Glenfarclas 1965 Cask Nr.4512,100,130,30.0,success,
155921,WB268756,Jameson Triple Triple Chestnut Edition,40,112,180.0,success,
155926,WB37546,"Glenfarclas 1966 Cask Nr.2603, 2604, 3551, 3552",106,120,13.2,success,
155928,WB121539,Glenallachie 28 Years Old 1990 Single Cask For Uk - Batch 1 Cask Nr.620,114,128,12.3,success,
155929,WB248665,Daftmill 12 Years Old 2011 Summer Batch Release,53,109,105.7,success,
155931,WB37719,Karuizawa Spirit Of Asama,108,113,4.6,success,
